What is programming?, Programming is the process of creating a set of instructions that tell a computer how to perform a task, programming; computer
Where is the United States?, The United States is located in North America, United States; North America
What is the capital of France?, The capital of France is Paris, capital; France
Who is the president of the United States?, The president of the United States is Joe Biden, president; United States
What is Vietnam's population?, Vietnam's population is 97.04 million, Vietnam; population
\`sum_(i=1)^n i^3=((n(n+1))/2)^2\` is it True?, True, sum; natural numbers; calculus
What is the boiling point of water?, 100 degrees Celsius, boiling point; water
Find derivative of \`f(x) = 3x^2 + 2x - 1\`, \`f'(x) = 6x + 2\`, derivative; function; calculus
\`lim_(x->1) (x^2 - 1) / (x - 1)\`, 2, limit; calculus
\`dy/dx = y^2 - x\`; find the value of y?, \`y = (x^3 + 3)^(1/3)\`, differential equation; 
Find the critical points of the function \`f(x) = x^3 - 3x^2 + 2\`. The critical points are where the derivative \`f'(x) = 0\`, x = 0; x = 2, critical points; function; calculus; derivative